index_number,channel,analog_proc,azi,ele,dep,bit,digital_proc
0,22,RX82,-52.5,25,0,,
1,19,RX82,-52.5,12.5,0,,
2,20,RX82,-52.5,0,0,,
3,21,RX82,-52.5,-12.5,0,,
4,18,RX82,-52.5,-25,0,,
5,23,RX82,-35,37.5,0,,
6,3,RX82,-35,25,0,,
7,4,RX82,-35,12.5,0,,
8,1,RX82,-35,0,0,,
9,2,RX82,-35,-12.5,0,,
10,24,RX82,-35,-25,0,,
11,17,RX82,-35,-37.5,0,,
12,12,RX81,-17.5,37.5,0,,
13,11,RX81,-17.5,25,0,,
14,10,RX81,-17.5,12.5,0,,
15,9,RX81,-17.5,0,0,,
16,7,RX82,-17.5,-12.5,0,,
17,8,RX82,-17.5,-25,0,,
18,5,RX82,-17.5,-37.5,0,,
19,5,RX81,0,50,0,4,RX81
20,4,RX81,0,37.5,0,,
21,3,RX81,0,25,0,8,RX81
22,2,RX81,0,12.5,0,,
23,1,RX81,0,0,0,1,RX81
24,16,RX81,0,-12.5,0,,
25,15,RX81,0,-25,0,16,RX81
26,14,RX81,0,-37.5,0,,
27,13,RX81,0,-50,0,64,RX81
28,19,RX81,17.5,37.5,0,,
29,20,RX81,17.5,25,0,,
30,17,RX81,17.5,12.5,0,,
31,18,RX81,17.5,0,0,,
32,8,RX81,17.5,-12.5,0,,
33,7,RX81,17.5,-25,0,,
34,6,RX81,17.5,-37.5,0,,
35,13,RX82,35,37.5,0,,
36,10,RX82,35,25,0,,
37,15,RX82,35,12.5,0,,
38,23,RX81,35,0,0,,
39,24,RX81,35,-12.5,0,,
40,21,RX81,35,-25,0,,
41,22,RX81,35,-37.5,0,,
42,16,RX82,52.5,25,0,,
43,9,RX82,52.5,12.5,0,,
44,14,RX82,52.5,0,0,,
45,11,RX82,52.5,-12.5,0,,
46,12,RX82,52.5,-25,0,,
